Metric,Baseline,Finetuned
Hit@1,0.275,0.598
Hit@3,0.392,0.775
Hit@10,0.529,0.892
MRR@10,0.351,0.694

query,baseline_rank,baseline_cosine,finetuned_rank,finetuned_cosine,baseline_snip1,baseline_snip2,baseline_snip3,finetuned_snip1,finetuned_snip2,finetuned_snip3
"Data Engineer jobs with expertise in Informatica Power Center, Snaplogic, and PL/SQL.",1,0.6997568,1,0.7167227,"Skills You BringBachelor’s or Master’s Degree in a technology related field (e.g. Engineering, [...]","experience.Required Skills: ADF pipelines, SQL, Kusto, Power BI, Cosmos (Scope Scripts). Power [...]",experience on data analysis/ data integrity/ data governance;Need experience in analytical [...],"Skills You BringBachelor’s or Master’s Degree in a technology related field (e.g. Engineering, [...]","Skills You BringBachelor’s or Master’s Degree in a technology related field (e.g. Engineering, [...]","Skills You BringBachelor’s or Master’s Degree in a technology related field (e.g. Engineering, [...]"
freight logistics data visualization predictive modeling optimization techniques,3,0.41405258,1,0.577878,"Skills RequiredTechnical Requirements: • Strong written, oral, and interpersonal [...]","requirements into an efficient process and/or system solution? If so, DHL Supply Chain has the [...]",skills in a growth-oriented environment. If you're eager to drive change and grow [...],skills in a growth-oriented environment. If you're eager to drive change and grow [...],"Experience Bachelor’s Degree in Statistics, Engineering, Accounting/Finance or related field [...]","requirements into an efficient process and/or system solution? If so, DHL Supply Chain has the [...]"
"Data architecture, data governance, business intelligence tools",0,,4,0.41669172,"skills, able to translate complex business requirements into sound data management and data [...]","Qualifications:Deep expertise in Data Management, Data Governance, and Data Quality [...]","Requirements/Must Have Skills:Experience working in AWS environment (S3, Snowflake, EC2, [...]","experience, education, geographic location, and other factors. Experience5+ years of [...]","experience, education, geographic location, and other factors. The Role:As a Data Engineer, [...]","Qualifications Bachelor’s degree or equivalent experience in a scientific discipline, [...]"
"data visualization, predictive modeling, quantitative analytics",5,0.5397388,3,0.5451009,"requirements, objectives, and challenges. Translate business needs into actionable insights [...]","Skills RequiredTechnical Requirements: • Strong written, oral, and interpersonal [...]","requirements gathering, activities, and design phases. They are tasked with developing robust [...]","Qualifications Data Science, Statistics, and Data Analytics skillsData Visualization and Data [...]","Qualifications Analytical Skills, Data Analytics, and StatisticsStrong communication skills to [...]",skills and ability to extract valuable insights from highly complex data sets to ask the right [...]
"data pipeline architecture, AWS cloud data platforms, column-oriented database technologies",0,,8,0.5824781,"experience in bash and cloud concepts such as (EC2, EMR, Glue, ECS, Lambda, IAM, Security [...]","experience with Databricks, PySpark, SQL, Spark clusters, and Jupyter Notebooks.- Expertise in [...]",Experience in building robust cloud-based data engineering and curation solutions to create [...],experience with agile engineering and problem-solving creativity. United by our core values [...],experience with agile engineering and problem-solving creativity. United by our core values [...],experience with agile engineering and problem-solving creativity. United by our core values [...]
Big Data Engineer Spark Hadoop AWS GCP,3,0.58305365,3,0.5419388,"requirements for our direct client, please go through the below Job Description. If you are [...]","experience in Spark and Scala, SQL and AWS Cloud Desired Skills: Strong in spark with good [...]","Skills • Expertise and hands-on experience on Spark, and Hadoop echo system components – Must [...]","SkillsExpertise and hands-on experience on Spark, and Hadoop echo system components – Must [...]","requirements for our direct client, please go through the below Job Description. If you are [...]","Skills • Expertise and hands-on experience on Spark, and Hadoop echo system components – Must [...]"
data modeling unstructured data ETL design,0,,0,,"experience in ETL development, coupled with a profound understanding of data extraction, [...]","requirements and data mapping documents into a technical design.Develop, enhance, and maintain [...]",experience using ETL and platforms like Snowflake. If you are a Senior data engineer who [...],requirements. Lead the integration of new data management technologies and software [...],"Qualifications Data Engineering, Data Modeling, and ETL (Extract Transform Load) skillsData [...]",QualificationsData Engineering and Data Modeling skillsExperience with ETL (Extract Transform [...]
"AI chatbot evaluation, coding problem solving, code quality assessment",0,,3,0.4595964,"experience in autogen, langchain, Python programming, and prompt engineering. As an Agentic AI [...]","experience with high-performance computing, it would be advantageous, especially in optimizing [...]",experience in Python Experience in creating AI/ML models from scratch,Qualifications: Fluency in English (native or bilingual)Proficient in at least one programming [...],Qualifications: Fluency in English (native or bilingual)Proficient in at least one programming [...],Qualifications: Fluency in English (native or bilingual)Proficient in at least one programming [...]
Java Scala Python software architecture AWS healthcare data,0,,3,0.5530752,"Skills Required:Health Care Domain (must)AWS Python, Scala, AWS servicesNoSQL storage [...]","experience in Spark and Scala, SQL and AWS Cloud Desired Skills: Strong in spark with good [...]","requirements.Identify, design, and implement internal process improvements: automating manual [...]",skills and professional experience would be a good fit for a position with one of our premier [...],"Skills Required:Health Care Domain (must)AWS Python, Scala, AWS servicesNoSQL storage [...]","requirements, identify opportunities for improvement, and drive innovation.Provide technical [...]"
"business process analysis, requirements documentation, operational efficiency improvement",6,0.5263283,1,0.5180504,"requirements into an efficient process and/or system solution? If so, DHL Supply Chain has the [...]","requirements of analyses and reports.Transform requirements into actionable, high-quality [...]","requirements and translating them into automated solutions, to include workflow technical [...]","requirements, processes, and workflows. They will work closely with project managers, [...]",Qualifications • Excellent decision making abilities and effective problem solving skills. [...],"requirements into an efficient process and/or system solution? If so, DHL Supply Chain has the [...]"
